Words; Positive; Negative; Neutral
पहला: 0.0014316069765324953 0.0 0.9985683930234676 
गत: 0.9999271208920417 9.69483899220422e-06 6.318426896603851e-05 
गुजरा: 0.0 0.0025 0.9975 
अपर: 0.9995726962777932 2.479131075738254e-07 0.00042705580909920736 
पूर्व कालिक: 0.9995096601010551 7.680869748086468e-06 0.000482659029196833 
पूर्वकालीन: 0.9995093939515414 7.680867702823846e-06 0.00048292518075584176 
पूर्व-कालीन: 0.9995094239402118 7.680867933275918e-06 0.0004828951918548701 
अटना: 0.9996449511411635 0.0 0.00035504885883655245 
पूर्व-कालिक: 0.9995097650614657 7.68087055466921e-06 0.00048255406797966113 
अमाना: 0.0 0.0 1.0 
पुराकालीन: 0.0 0.0 1.0 
गया: 0.9933426325133148 0.0017013272465973455 0.004956040240087919 
अँटाना: 0.0 0.0 1.0 
प्राच्य: 0.0 0.0 1.0 
पूर्वकालिक: 0.9995096451067125 7.680869632860377e-06 0.00048267402365462946 
कदीम: 0.0 0.0 1.0 
प्राचीन: 0.9994947615692735 7.68075525826549e-06 0.0004975576754681759 
1ला: 0.0012300717445961418 0.0 0.9987699282554039 
पिछला: 0.9994475724808896 7.710392815599981e-06 0.0005447171262948954 
आदिम: 0.0 0.0 1.0 
पाछिल: 0.003285522504062743 0.0 0.9967144774959372 
पूरा करना: 0.9999266493985391 1.0438602045724477e-05 6.291199941508145e-05 
आदिकालीन: 0.0 0.0 1.0 
पूर्व: 0.9932045077101719 9.578408764079788e-06 0.006785913881064091 
प्राक्कालीन: 0.0 0.0 1.0 
अटाना: 0.0 0.0 1.0 
१ला: 0.0012344481474039636 0.0 0.9987655518525961 
समाना: 0.0 0.0 1.0 
अतीत: 0.8371946492384956 0.00025944583604876344 0.16254590492545565 
पूर्ववर्ती: 0.002197958026091889 0.0 0.9978020419739081 
अँटना: 0.0 0.0 1.0 
पुरवाना: 0.0 0.0 1.0 
अड़ाना: 0.9999275210168758 9.884290941283678e-06 6.259469218290236e-05 
चिरंतन: 0.0 0.0 1.0 
आना: 0.9999165808766952 9.737258349227631e-06 7.368186495559096e-05 
अमावना: 0.0 0.0 1.0 
व्यतीत: 0.0 0.0033140016570008283 0.9966859983429992 
बीता: 0.0 0.0012453300124533001 0.9987546699875467 
अंटाना: 0.0 0.0 1.0 
अंटना: 0.0 0.0 1.0 
अराना: 0.8067146248454075 0.0 0.19328537515459254 
पूरी करना: 0.0 0.0 1.0 
पुरातन: 0.0 0.0 1.0 
उत्तर: 0.9999277406921523 9.70895286440079e-06 6.255035498328073e-05 
आटना: 0.0 0.0 1.0 
निजी: 0.0 0.0 1.0 
अपना: 0.994379340911969 0.0 0.005620659088031016 
शख़्सी: 0.0 0.0 1.0 
आत्म विषयक: 0.0 0.0 1.0 
शख्सी: 0.0 0.0 1.0 
आत्म: 0.0 0.0 1.0 
व्यक्तिगत: 0.0 0.0 1.0 
वैयक्तिक: 0.0 0.0 1.0 
स्व: 0.0 0.0 1.0 
आत्म-संबंधी: 0.0 0.0 1.0 
स्वायत्त: 0.0 0.0 1.0 
ज़ाती: 0.0 0.0 1.0 
स्वकीय: 0.0 0.0 1.0 
आत्मिक: 0.0 0.0 1.0 
आत्मीय: 0.9999207376520812 1.6865766508020313e-05 6.23965814107978e-05 
तटस्थ: 0.0 0.0 1.0 
तटवर्ती: 0.0 0.0 1.0 
निष्पक्ष: 0.0 0.0 1.0 
अनपेक्ष: 0.0 0.0 1.0 
निर्पेक्ष: 0.0 0.0 1.0 
निरपेक्ष: 0.0 0.0 1.0 
उदासीन: 0.9999271001530168 1.0359149961762645e-05 6.254069702151228e-05 
निरीह: 0.9996402339149925 0.0 0.0003597660850075864 
पक्षपातशून्य: 0.0 0.0 1.0 
पक्षपातरहित: 0.0 0.0 1.0 
अपक्षपाती: 0.0 0.0 1.0 
गाँव: 0.998431290328815 2.406946942742895e-07 0.001568468976490764 
गँवई: 0.9984312913170512 2.458367215112754e-07 0.0015684628462272756 
गँवई-गाँव: 0.9984312903299294 2.4069469427455816e-07 0.0015684689753763135 
गाँववासी: 0.0 0.0 1.0 
गाँव-गँवई: 0.9984312903306723 2.4069469427473725e-07 0.0015684689746333462 
गाम: 0.9984312903321583 2.406946942750955e-07 0.001568468973147412 
गांव: 0.9984312903355017 2.406946942759015e-07 0.00156846896980406 
ग्राम: 0.9984312902485746 2.406946942549457e-07 0.001568469056731213 
गाँव-देहात: 0.9984312903555618 2.406946942807374e-07 0.001568468949743948 
दिहात: 0.9984312903819371 2.406946942870958e-07 0.0015684689233686152 
देहात: 0.9984312904346877 2.4069469429981255e-07 0.0015684688706179499 
लंबा: 0.9981977948172609 0.0 0.001802205182739128 
बुलंद: 0.9999271139850918 9.767120440352693e-06 6.311889446779046e-05 
ऊँचा: 0.9999266065728983 9.689584226862536e-06 6.370384287478774e-05 
उच्च: 0.9999271170632748 9.767236834782124e-06 6.311569989051342e-05 
तुंग: 0.9999269050216414 9.716604567471014e-06 6.337837379116108e-05 
दराज: 0.9995033157039772 7.847797971528747e-05 0.00041820631630754685 
तुङ्ग: 0.9999271170632467 9.767236844153142e-06 6.311569990915808e-05 
लम्बा: 0.9982201426124724 0.0 0.0017798573875275653 
लम्ब: 0.0 0.0 1.0 
उत्तुंग: 0.9999271170635471 9.767236544555622e-06 6.311569990834489e-05 
दराज़: 0.9995033225783888 7.84779802550455e-05 0.0004181994413561011 
दीर्घ: 0.9981977948172609 0.0 0.001802205182739128 
उन्नत: 0.9999271383515879 9.765596659473296e-06 6.309605175263665e-05 
बुलन्द: 0.999927113985069 9.767120459774928e-06 6.311889447122264e-05 
प्रवण: 0.9981492546983776 0.0012677865525472548 0.0005829587490751469 
उत्तंग: 0.9999271170632058 9.76723688089309e-06 6.311569991332884e-05 
उत्तङ्ग: 0.9999271170631615 9.767236920029808e-06 6.311569991840987e-05 
